_id,SEARCH_YEAR,SEARCH_LEVEL,SELF_IDENTIFY_TRANS,EVIDENCE,ESCAPE_,INJURY,OTHER,COUNT_,ITEMS_FOUND
1,2014,Level 3,No,No,No,No,No,11721,No
2,2018,Level 4,No,No,No,Yes,No,1,Yes
3,2016,Level 3,No,Yes,No,Yes,No,75,Yes
4,2014,Level 3,No,No,No,No,Yes,2461,Yes
5,2016,Level 3,No,Yes,No,Yes,Yes,70,Yes
6,2018,Level 4,No,No,Yes,Yes,Yes,2,Yes
7,2014,Level 3,No,No,No,Yes,No,2851,Yes
8,2016,Level 3,No,Yes,Yes,No,No,8,Yes
9,2019,Level 3,No,No,No,No,No,6648,No
10,2014,Level 3,No,No,No,Yes,Yes,1286,Yes
11,2016,Level 3,No,Yes,Yes,Yes,No,28,Yes
12,2019,Level 3,No,No,No,No,Yes,2363,Yes
13,2014,Level 3,No,No,Yes,No,No,125,Yes
14,2016,Level 3,No,Yes,Yes,Yes,Yes,57,Yes
15,2019,Level 3,No,No,No,Yes,No,2155,Yes
16,2014,Level 3,No,No,Yes,No,Yes,18,Yes
17,2016,Level 3,Yes,No,No,No,No,28,No
18,2019,Level 3,No,No,No,Yes,Yes,2050,Yes
19,2014,Level 3,No,No,Yes,Yes,No,622,Yes
20,2016,Level 3,Yes,No,No,No,Yes,14,Yes
21,2019,Level 3,No,No,Yes,No,No,66,Yes
22,2014,Level 3,No,No,Yes,Yes,Yes,262,Yes
23,2016,Level 3,Yes,No,No,Yes,No,4,Yes
24,2019,Level 3,No,No,Yes,No,Yes,17,Yes
25,2014,Level 3,No,Yes,No,No,No,270,Yes
26,2016,Level 3,Yes,No,No,Yes,Yes,7,Yes
27,2019,Level 3,No,No,Yes,Yes,No,440,Yes
28,2014,Level 3,No,Yes,No,No,Yes,45,Yes
29,2016,Level 3,Yes,No,Yes,No,No,1,Yes
30,2019,Level 3,No,No,Yes,Yes,Yes,322,Yes
31,2014,Level 3,No,Yes,No,Yes,No,79,Yes
32,2016,Level 3,Yes,No,Yes,Yes,Yes,1,Yes
33,2019,Level 3,No,Yes,No,No,No,199,Yes
34,2014,Level 3,No,Yes,No,Yes,Yes,47,Yes
35,2016,Level 3,Yes,Yes,No,No,No,1,Yes
36,2019,Level 3,No,Yes,No,No,Yes,47,Yes
37,2014,Level 3,No,Yes,Yes,No,No,15,Yes
38,2016,Level 3,Yes,Yes,Yes,Yes,Yes,1,Yes
39,2019,Level 3,No,Yes,No,Yes,No,140,Yes
40,2014,Level 3,No,Yes,Yes,Yes,No,35,Yes
41,2016,Level 4,No,No,No,No,No,2,No
42,2019,Level 3,No,Yes,No,Yes,Yes,64,Yes
43,2014,Level 3,No,Yes,Yes,Yes,Yes,44,Yes
44,2016,Level 4,No,No,No,No,Yes,1,Yes
45,2019,Level 3,No,Yes,Yes,No,No,9,Yes
46,2014,Level 3,Yes,No,No,No,No,17,No
47,2016,Level 4,No,No,No,Yes,No,1,Yes
48,2019,Level 3,No,Yes,Yes,No,Yes,3,Yes
49,2014,Level 3,Yes,No,No,No,Yes,5,Yes
50,2016,Level 4,No,No,No,Yes,Yes,1,Yes
51,2019,Level 3,No,Yes,Yes,Yes,No,30,Yes
52,2014,Level 3,Yes,No,No,Yes,No,7,Yes
53,2017,Level 3,No,No,No,No,No,8008,No
54,2019,Level 3,No,Yes,Yes,Yes,Yes,49,Yes
55,2014,Level 3,Yes,No,No,Yes,Yes,6,Yes
56,2017,Level 3,No,No,No,No,Yes,2825,Yes
57,2019,Level 3,Yes,No,No,No,No,20,No
58,2014,Level 3,Yes,No,Yes,Yes,No,1,Yes
59,2017,Level 3,No,No,No,Yes,No,2636,Yes
60,2019,Level 3,Yes,No,No,No,Yes,12,Yes
61,2014,Level 3,Yes,No,Yes,Yes,Yes,1,Yes
62,2017,Level 3,No,No,No,Yes,Yes,1805,Yes
63,2019,Level 3,Yes,No,No,Yes,No,9,Yes
64,2014,Level 3,Yes,Yes,No,No,Yes,1,Yes
65,2017,Level 3,No,No,Yes,No,No,65,Yes
66,2019,Level 3,Yes,No,No,Yes,Yes,19,Yes
67,2014,Level 3,Yes,Yes,No,Yes,Yes,1,Yes
68,2017,Level 3,No,No,Yes,No,Yes,20,Yes
69,2019,Level 3,Yes,No,Yes,Yes,No,5,Yes
70,2014,Level 4,No,No,No,No,No,2,No
71,2017,Level 3,No,No,Yes,Yes,No,484,Yes
72,2019,Level 3,Yes,Yes,No,No,No,1,Yes
73,2014,Level 4,No,No,No,No,Yes,1,Yes
74,2017,Level 3,No,No,Yes,Yes,Yes,275,Yes
75,2019,Level 3,Yes,Yes,No,Yes,No,2,Yes
76,2014,Level 4,No,No,No,Yes,No,1,Yes
77,2017,Level 3,No,Yes,No,No,No,210,Yes
78,2019,Level 4,No,No,No,No,No,4,No
79,2014,Level 4,No,Yes,No,No,No,3,Yes
80,2017,Level 3,No,Yes,No,No,Yes,45,Yes
81,2019,Level 4,No,No,No,Yes,No,1,Yes
82,2015,Level 3,No,No,No,No,No,10990,No
83,2017,Level 3,No,Yes,No,Yes,No,107,Yes
84,2019,Level 4,No,No,No,Yes,Yes,1,Yes
85,2015,Level 3,No,No,No,No,Yes,3312,Yes
86,2015,Level 3,No,No,No,Yes,No,2811,Yes
87,2015,Level 3,No,No,No,Yes,Yes,1757,Yes
88,2015,Level 3,No,No,Yes,No,No,96,Yes
89,2015,Level 3,No,No,Yes,No,Yes,20,Yes
90,2015,Level 3,No,No,Yes,Yes,No,533,Yes
91,2015,Level 3,No,No,Yes,Yes,Yes,279,Yes
92,2015,Level 3,No,Yes,No,No,No,251,Yes
93,2015,Level 3,No,Yes,No,No,Yes,57,Yes
94,2015,Level 3,No,Yes,No,Yes,No,110,Yes
95,2015,Level 3,No,Yes,No,Yes,Yes,92,Yes
96,2015,Level 3,No,Yes,Yes,No,No,9,Yes
97,2015,Level 3,No,Yes,Yes,No,Yes,1,Yes
98,2015,Level 3,No,Yes,Yes,Yes,No,34,Yes
99,2015,Level 3,No,Yes,Yes,Yes,Yes,56,Yes
100,2015,Level 3,Yes,No,No,No,No,33,No
101,2015,Level 3,Yes,No,No,No,Yes,8,Yes
102,2015,Level 3,Yes,No,No,Yes,No,8,Yes
103,2015,Level 3,Yes,No,No,Yes,Yes,8,Yes
104,2015,Level 3,Yes,No,Yes,No,No,1,Yes
105,2015,Level 3,Yes,No,Yes,Yes,No,1,Yes
106,2015,Level 3,Yes,No,Yes,Yes,Yes,1,Yes
107,2015,Level 3,Yes,Yes,No,Yes,No,1,Yes
108,2015,Level 3,Yes,Yes,Yes,Yes,Yes,1,Yes
109,2015,Level 4,No,No,No,No,No,5,No
110,2015,Level 4,No,Yes,No,No,No,1,Yes
111,2015,Level 4,No,Yes,No,Yes,No,2,Yes
112,2015,Level 4,No,Yes,No,Yes,Yes,1,Yes
113,2016,Level 3,No,No,No,No,No,9308,No
114,2016,Level 3,No,No,No,No,Yes,2803,Yes
115,2016,Level 3,No,No,No,Yes,No,2569,Yes
116,2016,Level 3,No,No,No,Yes,Yes,1662,Yes
117,2016,Level 3,No,No,Yes,No,No,111,Yes
118,2016,Level 3,No,No,Yes,No,Yes,14,Yes
119,2016,Level 3,No,No,Yes,Yes,No,493,Yes
120,2016,Level 3,No,No,Yes,Yes,Yes,256,Yes
121,2016,Level 3,No,Yes,No,No,No,262,Yes
122,2016,Level 3,No,Yes,No,No,Yes,47,Yes
123,2017,Level 3,No,Yes,No,Yes,Yes,75,Yes
124,2019,Level 4,No,No,Yes,Yes,No,1,Yes
125,2017,Level 3,No,Yes,Yes,No,No,14,Yes
126,2019,Level 4,No,No,Yes,Yes,Yes,1,Yes
127,2017,Level 3,No,Yes,Yes,Yes,No,23,Yes
128,2020,Level 3,No,No,No,No,No,3036,No
129,2017,Level 3,No,Yes,Yes,Yes,Yes,40,Yes
130,2020,Level 3,No,No,No,No,No,129,Yes
131,2017,Level 3,Yes,No,No,No,No,33,No
132,2020,Level 3,No,No,No,No,Yes,1803,Yes
133,2017,Level 3,Yes,No,No,No,Yes,9,Yes
134,2020,Level 3,No,No,No,Yes,No,988,Yes
135,2017,Level 3,Yes,No,No,Yes,No,14,Yes
136,2020,Level 3,No,No,No,Yes,Yes,1049,Yes
137,2017,Level 3,Yes,No,No,Yes,Yes,15,Yes
138,2020,Level 3,No,No,Yes,No,No,38,Yes
139,2017,Level 3,Yes,No,Yes,No,No,1,Yes
140,2020,Level 3,No,No,Yes,No,Yes,18,Yes
141,2017,Level 3,Yes,No,Yes,Yes,Yes,1,Yes
142,2020,Level 3,No,No,Yes,Yes,No,193,Yes
143,2017,Level 3,Yes,Yes,No,No,No,1,Yes
144,2020,Level 3,No,No,Yes,Yes,Yes,109,Yes
145,2017,Level 3,Yes,Yes,Yes,No,No,1,Yes
146,2020,Level 3,No,Yes,No,No,No,91,Yes
147,2018,Level 3,No,No,No,No,No,7589,No
148,2020,Level 3,No,Yes,No,No,Yes,40,Yes
149,2018,Level 3,No,No,No,No,Yes,2557,Yes
150,2020,Level 3,No,Yes,No,Yes,No,147,Yes
151,2018,Level 3,No,No,No,Yes,No,2221,Yes
152,2020,Level 3,No,Yes,No,Yes,Yes,30,Yes
153,2018,Level 3,No,No,No,Yes,Yes,1930,Yes
154,2020,Level 3,No,Yes,Yes,No,No,8,Yes
155,2018,Level 3,No,No,Yes,No,No,84,Yes
156,2020,Level 3,No,Yes,Yes,Yes,No,8,Yes
157,2018,Level 3,No,No,Yes,No,Yes,21,Yes
158,2020,Level 3,No,Yes,Yes,Yes,Yes,34,Yes
159,2018,Level 3,No,No,Yes,Yes,No,440,Yes
160,2020,Level 3,Yes,No,No,No,No,14,No
161,2018,Level 3,No,No,Yes,Yes,Yes,306,Yes
162,2020,Level 3,Yes,No,No,No,Yes,9,Yes
163,2018,Level 3,No,Yes,No,No,No,208,Yes
164,2020,Level 3,Yes,No,No,Yes,No,1,Yes
165,2018,Level 3,No,Yes,No,No,Yes,50,Yes
166,2018,Level 3,No,Yes,No,Yes,No,106,Yes
167,2018,Level 3,No,Yes,No,Yes,Yes,60,Yes
168,2018,Level 3,No,Yes,Yes,No,No,12,Yes
169,2018,Level 3,No,Yes,Yes,No,Yes,2,Yes
170,2018,Level 3,No,Yes,Yes,Yes,No,28,Yes
171,2018,Level 3,No,Yes,Yes,Yes,Yes,50,Yes
172,2018,Level 3,Yes,No,No,No,No,35,No
173,2018,Level 3,Yes,No,No,No,Yes,23,Yes
174,2018,Level 3,Yes,No,No,Yes,No,3,Yes
175,2018,Level 3,Yes,No,No,Yes,Yes,16,Yes
176,2018,Level 3,Yes,No,Yes,Yes,No,4,Yes
177,2018,Level 3,Yes,No,Yes,Yes,Yes,2,Yes
178,2018,Level 3,Yes,Yes,No,No,Yes,1,Yes
179,2018,Level 3,Yes,Yes,No,Yes,No,1,Yes
180,2018,Level 4,No,No,No,No,No,3,No
181,2018,Level 4,No,No,No,No,Yes,1,Yes
182,2020,Level 3,Yes,No,No,Yes,Yes,5,Yes
183,2020,Level 3,Yes,No,Yes,Yes,Yes,2,Yes
184,2020,Level 3,Yes,Yes,No,No,No,1,Yes
185,2020,Level 3,Yes,Yes,No,Yes,No,1,Yes
186,2020,Level 4,No,No,No,No,No,1,No
187,2021,Level 3,No,No,No,No,No,200,No
188,2021,Level 3,No,No,No,No,No,555,Yes
189,2021,Level 4,No,No,No,No,No,2,Yes
190,2021,Level 4,No,No,No,No,No,2,No
191,2022,Level 3,No,No,No,No,No,123,No
192,2022,Level 3,No,No,No,No,No,270,Yes
193,2022,Level 4,No,No,No,No,No,1,No
194,2023,Level 3,No,No,No,No,No,143,No
195,2023,Level 3,No,No,No,No,No,294,Yes
196,2023,Level 4,No,No,No,No,No,2,No
197,2023,Level 4,No,No,No,No,No,1,Yes
